,Account Status,Duration,Credit History,Purpose,Credit Amount,Savings,Employment,Installment rate,Sex,Other debtors,Residence,Property,Age,Other installments,Housing,Number of credits,Job,Maintenance,Telephone,Foreign,label_value,score
497,no,24,critical account,furniture/equipment,1585,<100,4 <= < 7 years,4,male single,none,3,savings agreement/life insurance,Middle2,none,own,2,skilled employee / official,1,none,yes,1,1.0
498,<200,18,existing credits paid back duly till now,radio/television,1301,<100,>= 7 years,4,male married/widowed,guarantor,2,real estate,Middle1,none,own,1,unskilled - resident,1,none,yes,1,1.0
499,>200,6,critical account,car (new),1323,<500,>= 7 years,2,male divorced/separated,none,4,car or other,Middle1,none,own,2,skilled employee / official,2,yes,yes,1,1.0
500,<0,24,existing credits paid back duly till now,car (new),3123,<100,< 1 year,4,female divorced/separated/married,none,1,savings agreement/life insurance,Middle1,none,own,1,skilled employee / official,1,none,yes,0,0.0
501,<0,36,existing credits paid back duly till now,car (used),5493,<100,>= 7 years,2,male single,none,4,no,Older,none,for free,1,skilled employee / official,2,none,yes,1,0.0
502,>200,9,existing credits paid back duly till now,radio/television,1126,<500,>= 7 years,2,male divorced/separated,none,4,real estate,Older,none,own,1,skilled employee / official,1,none,yes,1,1.0
503,<200,24,critical account,radio/television,1216,<500,< 1 year,4,male single,none,4,no,Middle2,bank,own,2,skilled employee / official,2,none,yes,0,0.0
504,<0,24,existing credits paid back duly till now,car (new),1207,<100,< 1 year,4,female divorced/separated/married,none,4,savings agreement/life insurance,Younger,none,rent,1,skilled employee / official,1,none,yes,0,0.0
505,no,10,existing credits paid back duly till now,car (new),1309,no,1 <= < 4 years,4,male single,guarantor,4,savings agreement/life insurance,Middle1,none,own,1,unskilled - resident,1,none,yes,0,1.0
506,>200,15,critical account,car (used),2360,<1000,1 <= < 4 years,2,male single,none,2,car or other,Middle2,none,own,1,skilled employee / official,1,yes,yes,1,1.0
507,<200,15,all credits at this bank paid back duly,car (new),6850,<500,unemployed,1,male single,none,2,savings agreement/life insurance,Middle2,none,own,1,management/ highly qualified employee,2,yes,yes,0,0.0
508,no,24,existing credits paid back duly till now,radio/television,1413,<100,1 <= < 4 years,4,male married/widowed,none,2,savings agreement/life insurance,Middle1,none,own,1,skilled employee / official,1,none,yes,1,1.0
509,no,39,existing credits paid back duly till now,car (used),8588,<500,>= 7 years,4,male single,none,2,car or other,Older,none,own,1,management/ highly qualified employee,1,yes,yes,1,1.0
510,<0,12,existing credits paid back duly till now,car (new),759,<100,4 <= < 7 years,4,male single,none,2,real estate,Younger,none,own,1,skilled employee / official,1,none,yes,0,1.0
511,no,36,existing credits paid back duly till now,car (used),4686,<100,1 <= < 4 years,2,male single,none,2,no,Middle1,none,for free,1,management/ highly qualified employee,1,yes,yes,1,1.0
512,>200,15,existing credits paid back duly till now,business,2687,<100,4 <= < 7 years,2,male single,none,4,savings agreement/life insurance,Younger,none,rent,1,skilled employee / official,1,yes,yes,1,1.0
513,<200,12,delay in paying off,radio/television,585,<100,1 <= < 4 years,4,male married/widowed,co-applicant,4,real estate,Younger,none,rent,2,skilled employee / official,1,none,yes,1,1.0
514,no,24,existing credits paid back duly till now,car (new),2255,no,< 1 year,4,male single,none,1,savings agreement/life insurance,Older,none,own,1,skilled employee / official,1,none,yes,1,1.0
515,<0,6,critical account,car (new),609,<100,4 <= < 7 years,4,female divorced/separated/married,none,3,savings agreement/life insurance,Middle2,none,own,2,skilled employee / official,1,none,no,1,1.0
516,<0,6,critical account,car (new),1361,<100,< 1 year,2,male single,none,4,real estate,Middle2,none,own,1,unskilled - resident,2,none,no,1,1.0
517,no,36,critical account,furniture/equipment,7127,<100,< 1 year,2,female divorced/separated/married,none,4,savings agreement/life insurance,Younger,none,rent,2,skilled employee / official,1,yes,yes,0,1.0
518,<0,6,existing credits paid back duly till now,car (new),1203,<500,>= 7 years,3,male single,none,2,savings agreement/life insurance,Older,none,own,1,skilled employee / official,1,yes,yes,1,0.0
519,no,6,critical account,radio/television,700,no,>= 7 years,4,male single,none,4,no,Middle2,none,for free,2,skilled employee / official,1,none,yes,1,1.0
520,no,24,critical account,repairs,5507,<100,>= 7 years,3,male single,none,4,no,Older,none,for free,2,skilled employee / official,1,none,yes,1,1.0
521,<0,18,existing credits paid back duly till now,radio/television,3190,<100,1 <= < 4 years,2,female divorced/separated/married,none,2,real estate,Younger,none,own,1,skilled employee / official,1,none,yes,0,1.0
522,<0,48,no credits taken,furniture/equipment,7119,<100,1 <= < 4 years,3,male single,none,4,no,Older,none,for free,2,skilled employee / official,2,none,yes,0,0.0
523,no,24,existing credits paid back duly till now,car (used),3488,<500,4 <= < 7 years,3,female divorced/separated/married,none,4,car or other,Younger,none,own,1,skilled employee / official,1,none,yes,1,1.0
524,<200,18,existing credits paid back duly till now,radio/television,1113,<100,1 <= < 4 years,4,female divorced/separated/married,guarantor,4,real estate,Younger,none,own,1,unskilled - resident,2,none,yes,1,1.0
525,<200,26,existing credits paid back duly till now,car (used),7966,<100,< 1 year,2,male single,none,3,car or other,Middle1,none,own,2,skilled employee / official,1,none,yes,1,1.0
526,no,15,critical account,education,1532,<500,1 <= < 4 years,4,female divorced/separated/married,none,3,car or other,Middle1,none,own,1,skilled employee / official,1,none,yes,1,1.0
527,no,4,critical account,radio/television,1503,<100,4 <= < 7 years,2,male single,none,1,real estate,Older,none,own,2,unskilled - resident,2,none,yes,1,1.0
528,<0,36,existing credits paid back duly till now,radio/television,2302,<100,1 <= < 4 years,4,male divorced/separated,none,4,car or other,Middle1,none,rent,1,skilled employee / official,1,none,yes,0,0.0
529,<0,6,existing credits paid back duly till now,car (new),662,<100,< 1 year,3,male single,none,4,real estate,Middle2,none,own,1,unskilled - resident,2,yes,yes,1,0.0
530,<200,36,existing credits paid back duly till now,education,2273,<100,4 <= < 7 years,3,male single,none,1,car or other,Middle1,none,own,2,skilled employee / official,2,none,yes,1,1.0
531,<200,15,existing credits paid back duly till now,car (new),2631,<500,1 <= < 4 years,2,female divorced/separated/married,none,4,car or other,Middle1,none,rent,2,skilled employee / official,1,yes,yes,0,0.0
532,no,12,delay in paying off,car (used),1503,<100,1 <= < 4 years,4,male married/widowed,none,4,real estate,Middle2,none,rent,1,skilled employee / official,1,none,yes,1,1.0
533,no,24,existing credits paid back duly till now,radio/television,1311,<500,4 <= < 7 years,4,male married/widowed,none,3,savings agreement/life insurance,Younger,none,own,1,skilled employee / official,1,yes,yes,1,1.0
534,no,24,existing credits paid back duly till now,radio/television,3105,no,< 1 year,4,male single,none,2,car or other,Younger,none,own,2,skilled employee / official,1,none,yes,1,1.0
535,>200,21,critical account,education,2319,<100,< 1 year,2,male divorced/separated,none,1,car or other,Middle2,none,rent,1,skilled employee / official,1,none,yes,0,1.0
536,<0,6,existing credits paid back duly till now,car (new),1374,no,unemployed,4,female divorced/separated/married,none,3,savings agreement/life insurance,Older,none,own,1,management/ highly qualified employee,1,yes,yes,1,1.0
537,<200,18,critical account,furniture/equipment,3612,<100,>= 7 years,3,female divorced/separated/married,none,4,savings agreement/life insurance,Middle2,none,own,1,skilled employee / official,1,yes,yes,1,1.0
538,<0,48,existing credits paid back duly till now,car (new),7763,<100,>= 7 years,4,male single,none,4,no,Older,bank,for free,1,management/ highly qualified employee,1,none,yes,0,0.0
539,>200,18,existing credits paid back duly till now,furniture/equipment,3049,<100,< 1 year,1,female divorced/separated/married,none,1,savings agreement/life insurance,Older,store,own,1,unskilled - resident,1,none,yes,1,1.0
540,<200,12,existing credits paid back duly till now,radio/television,1534,<100,< 1 year,1,male married/widowed,none,1,real estate,Younger,none,rent,1,skilled employee / official,1,none,yes,0,1.0
541,no,24,delay in paying off,car (new),2032,<100,>= 7 years,4,male single,none,4,no,Older,none,for free,2,skilled employee / official,1,yes,yes,1,1.0
542,<0,30,existing credits paid back duly till now,furniture/equipment,6350,no,>= 7 years,4,male single,none,4,savings agreement/life insurance,Middle1,none,own,1,skilled employee / official,1,none,yes,0,1.0
543,>200,18,existing credits paid back duly till now,furniture/equipment,2864,<100,1 <= < 4 years,2,male single,none,1,real estate,Middle2,none,own,1,unskilled - resident,2,none,yes,0,1.0
544,no,12,critical account,car (new),1255,<100,>= 7 years,4,male single,none,4,real estate,Older,none,own,2,unskilled - resident,1,none,yes,1,1.0
545,<0,24,delay in paying off,car (new),1333,<100,unemployed,4,male single,none,2,real estate,Older,none,for free,2,skilled employee / official,2,none,yes,0,0.0
546,no,24,critical account,car (new),2022,<100,1 <= < 4 years,4,female divorced/separated/married,none,4,car or other,Middle2,none,own,1,skilled employee / official,1,yes,yes,1,1.0
547,no,24,existing credits paid back duly till now,radio/television,1552,<100,4 <= < 7 years,3,male single,none,1,car or other,Middle1,bank,own,1,skilled employee / official,2,none,yes,1,1.0
548,<0,12,all credits at this bank paid back duly,radio/television,626,<100,1 <= < 4 years,4,female divorced/separated/married,none,4,real estate,Younger,bank,own,1,unskilled - resident,1,none,yes,0,0.0
549,no,48,critical account,car (used),8858,no,4 <= < 7 years,2,male single,none,1,no,Middle2,none,for free,2,skilled employee / official,1,yes,yes,1,1.0
550,no,12,critical account,repairs,996,no,4 <= < 7 years,4,female divorced/separated/married,none,4,real estate,Younger,none,own,2,skilled employee / official,1,none,yes,1,1.0
551,no,6,all credits at this bank paid back duly,radio/television,1750,<1000,>= 7 years,2,male single,none,4,savings agreement/life insurance,Older,bank,own,1,unskilled - resident,2,none,yes,1,1.0
552,<0,48,existing credits paid back duly till now,radio/television,6999,<100,4 <= < 7 years,1,male married/widowed,guarantor,1,real estate,Middle2,none,own,2,skilled employee / official,1,yes,yes,0,1.0
553,<200,12,critical account,car (new),1995,<500,< 1 year,4,male single,none,1,car or other,Middle1,none,own,1,skilled employee / official,1,none,yes,1,1.0
554,<200,9,existing credits paid back duly till now,education,1199,<100,4 <= < 7 years,4,female divorced/separated/married,none,4,savings agreement/life insurance,Older,none,own,2,management/ highly qualified employee,1,yes,yes,1,1.0
555,<200,12,existing credits paid back duly till now,radio/television,1331,<100,< 1 year,2,male single,none,1,car or other,Younger,store,own,1,skilled employee / official,1,none,yes,0,1.0
556,<200,18,no credits taken,car (new),2278,<500,< 1 year,3,female divorced/separated/married,none,3,car or other,Middle1,none,own,2,skilled employee / official,1,none,yes,0,0.0
557,no,21,no credits taken,car (new),5003,no,1 <= < 4 years,1,female divorced/separated/married,none,4,savings agreement/life insurance,Middle1,bank,own,2,skilled employee / official,1,yes,yes,0,1.0
558,<0,24,all credits at this bank paid back duly,furniture/equipment,3552,<100,4 <= < 7 years,3,male single,none,4,car or other,Middle1,bank,own,1,skilled employee / official,1,none,yes,0,1.0
559,<200,18,critical account,furniture/equipment,1928,<100,< 1 year,2,male single,none,2,real estate,Middle1,none,own,2,unskilled - resident,1,none,yes,0,1.0
560,<0,24,existing credits paid back duly till now,car (used),2964,no,>= 7 years,4,male single,none,4,no,Older,bank,for free,1,skilled employee / official,2,yes,yes,1,0.0
561,<0,24,all credits at this bank paid back duly,radio/television,1546,<100,4 <= < 7 years,4,male single,guarantor,4,car or other,Younger,bank,rent,1,unskilled - resident,1,none,yes,0,1.0
562,>200,6,delay in paying off,radio/television,683,<100,< 1 year,2,female divorced/separated/married,none,1,savings agreement/life insurance,Middle1,bank,own,1,skilled employee / official,1,none,yes,1,1.0
563,<200,36,existing credits paid back duly till now,car (new),12389,no,1 <= < 4 years,1,male single,none,4,no,Middle2,none,for free,1,skilled employee / official,1,yes,yes,0,0.0
564,<200,24,delay in paying off,business,4712,no,1 <= < 4 years,4,male single,none,2,savings agreement/life insurance,Middle2,bank,own,2,management/ highly qualified employee,1,yes,yes,1,0.0
565,<200,24,delay in paying off,radio/television,1553,<500,4 <= < 7 years,3,female divorced/separated/married,none,2,savings agreement/life insurance,Younger,none,rent,2,skilled employee / official,1,yes,yes,1,1.0
566,<0,12,existing credits paid back duly till now,car (new),1372,<100,4 <= < 7 years,2,male divorced/separated,none,3,car or other,Middle2,none,own,1,skilled employee / official,1,none,yes,0,0.0
567,no,24,critical account,radio/television,2578,>1000,>= 7 years,2,male single,none,2,car or other,Middle2,none,own,1,skilled employee / official,1,none,yes,1,1.0
568,<200,48,existing credits paid back duly till now,radio/television,3979,no,4 <= < 7 years,4,male single,none,1,car or other,Middle2,none,own,2,skilled employee / official,2,yes,yes,1,1.0
569,<0,48,existing credits paid back duly till now,radio/television,6758,<100,1 <= < 4 years,3,female divorced/separated/married,none,2,car or other,Middle1,none,own,1,skilled employee / official,1,yes,yes,0,0.0
570,<0,24,existing credits paid back duly till now,furniture/equipment,3234,<100,< 1 year,4,female divorced/separated/married,none,4,real estate,Younger,none,rent,1,unskilled - resident,1,yes,yes,0,0.0
571,no,30,critical account,radio/television,5954,<100,4 <= < 7 years,3,male single,co-applicant,2,car or other,Middle2,none,own,1,skilled employee / official,1,none,yes,1,1.0
572,no,24,existing credits paid back duly till now,car (used),5433,no,unemployed,2,female divorced/separated/married,none,4,savings agreement/life insurance,Younger,none,rent,1,management/ highly qualified employee,1,yes,yes,1,1.0
573,<0,15,existing credits paid back duly till now,business,806,<100,1 <= < 4 years,4,female divorced/separated/married,none,4,savings agreement/life insurance,Younger,none,own,1,unskilled - resident,1,none,yes,1,1.0
574,<200,9,existing credits paid back duly till now,radio/television,1082,<100,>= 7 years,4,male single,none,4,car or other,Middle1,none,own,2,unskilled - resident,1,none,yes,1,1.0
575,no,15,critical account,furniture/equipment,2788,<100,4 <= < 7 years,2,female divorced/separated/married,co-applicant,3,car or other,Younger,bank,own,2,skilled employee / official,1,none,yes,1,1.0
576,<200,12,existing credits paid back duly till now,radio/television,2930,<100,4 <= < 7 years,2,female divorced/separated/married,none,1,real estate,Middle1,none,own,1,skilled employee / official,1,none,yes,1,1.0
577,no,24,critical account,education,1927,no,1 <= < 4 years,3,female divorced/separated/married,none,2,car or other,Middle2,none,own,2,skilled employee / official,1,yes,yes,1,1.0
578,<200,36,critical account,car (new),2820,<100,< 1 year,4,male divorced/separated,none,4,car or other,Middle1,none,own,2,skilled employee / official,1,none,yes,0,0.0
579,no,24,existing credits paid back duly till now,retraining,937,<100,< 1 year,4,male married/widowed,none,3,car or other,Middle1,none,own,2,unskilled - resident,1,none,yes,1,1.0
580,<200,18,critical account,car (new),1056,<100,>= 7 years,3,male single,guarantor,3,real estate,Middle1,bank,own,2,skilled employee / official,1,none,yes,0,1.0
581,<200,12,critical account,car (new),3124,<100,< 1 year,1,male single,none,3,real estate,Older,bank,own,2,unskilled - resident,2,none,yes,1,1.0
582,no,9,existing credits paid back duly till now,furniture/equipment,1388,<100,1 <= < 4 years,4,female divorced/separated/married,none,2,real estate,Younger,none,rent,1,skilled employee / official,1,none,yes,1,1.0
583,<200,36,existing credits paid back duly till now,repairs,2384,<100,< 1 year,4,male single,none,1,no,Middle2,none,rent,1,unskilled - resident,1,none,yes,0,0.0
584,no,12,existing credits paid back duly till now,car (new),2133,no,>= 7 years,4,female divorced/separated/married,none,4,no,Older,none,for free,1,management/ highly qualified employee,1,yes,yes,1,1.0
585,<0,18,existing credits paid back duly till now,furniture/equipment,2039,<100,1 <= < 4 years,1,female divorced/separated/married,none,4,real estate,Younger,bank,rent,1,skilled employee / official,1,none,yes,0,1.0
586,<0,9,critical account,car (new),2799,<100,1 <= < 4 years,2,male single,none,2,real estate,Middle2,none,rent,2,skilled employee / official,2,none,yes,1,0.0
587,<0,12,existing credits paid back duly till now,furniture/equipment,1289,<100,1 <= < 4 years,4,male single,guarantor,1,savings agreement/life insurance,Younger,none,own,1,unskilled - resident,1,none,yes,1,1.0
588,<0,18,existing credits paid back duly till now,domestic appliances,1217,<100,1 <= < 4 years,4,male married/widowed,none,3,real estate,Older,none,own,1,unskilled - resident,1,yes,yes,0,1.0
589,<0,12,critical account,furniture/equipment,2246,<100,>= 7 years,3,male single,none,3,savings agreement/life insurance,Older,none,own,2,skilled employee / official,1,none,yes,0,1.0
590,<0,12,critical account,radio/television,385,<100,4 <= < 7 years,4,female divorced/separated/married,none,3,real estate,Older,none,own,4,unskilled - resident,1,yes,yes,1,1.0
591,<200,24,delay in paying off,car (new),1965,no,1 <= < 4 years,4,female divorced/separated/married,none,4,car or other,Older,none,rent,2,skilled employee / official,1,yes,yes,1,1.0
592,no,21,existing credits paid back duly till now,business,1572,>1000,>= 7 years,4,female divorced/separated/married,none,4,real estate,Middle2,bank,own,1,unskilled - resident,1,none,yes,1,1.0
593,<200,24,existing credits paid back duly till now,car (new),2718,<100,1 <= < 4 years,3,female divorced/separated/married,none,4,savings agreement/life insurance,Younger,none,rent,1,unskilled - resident,1,yes,yes,0,0.0
594,<0,24,all credits at this bank paid back duly,others,1358,no,>= 7 years,4,male single,none,3,car or other,Middle2,store,own,1,management/ highly qualified employee,1,yes,yes,0,0.0
595,<200,6,all credits at this bank paid back duly,car (new),931,<500,< 1 year,1,female divorced/separated/married,none,1,savings agreement/life insurance,Middle1,store,own,1,unskilled - resident,1,none,yes,0,1.0
596,<0,24,existing credits paid back duly till now,car (new),1442,<100,4 <= < 7 years,4,female divorced/separated/married,none,4,car or other,Younger,none,rent,2,skilled employee / official,1,none,yes,0,0.0
597,<200,24,no credits taken,business,4241,<100,1 <= < 4 years,1,male single,none,4,real estate,Middle2,none,own,3,unskilled - resident,1,yes,yes,0,1.0
598,no,18,critical account,car (new),2775,<100,4 <= < 7 years,2,male single,none,2,savings agreement/life insurance,Middle1,bank,own,2,skilled employee / official,1,none,yes,0,1.0
599,no,24,delay in paying off,business,3863,<100,1 <= < 4 years,1,male single,none,2,no,Middle1,none,for free,1,skilled employee / official,1,none,yes,1,1.0
600,<200,7,existing credits paid back duly till now,radio/television,2329,<100,< 1 year,1,female divorced/separated/married,guarantor,1,real estate,Older,none,own,1,skilled employee / official,1,none,yes,1,1.0
601,<200,9,existing credits paid back duly till now,furniture/equipment,918,<100,1 <= < 4 years,4,female divorced/separated/married,none,1,savings agreement/life insurance,Middle1,none,own,1,skilled employee / official,1,none,yes,0,1.0
602,<200,24,all credits at this bank paid back duly,education,1837,<100,4 <= < 7 years,4,female divorced/separated/married,none,4,no,Middle2,bank,for free,1,unskilled - resident,1,none,yes,0,0.0
603,no,36,existing credits paid back duly till now,furniture/equipment,3349,<100,1 <= < 4 years,4,female divorced/separated/married,none,2,car or other,Middle1,none,own,1,management/ highly qualified employee,1,yes,yes,0,1.0
604,>200,10,existing credits paid back duly till now,furniture/equipment,1275,<100,< 1 year,4,female divorced/separated/married,none,2,savings agreement/life insurance,Younger,none,own,1,skilled employee / official,1,none,yes,1,1.0
605,<0,24,all credits at this bank paid back duly,furniture/equipment,2828,<1000,1 <= < 4 years,4,male single,none,4,real estate,Younger,store,own,1,skilled employee / official,1,yes,yes,1,0.0
606,no,24,critical account,business,4526,<100,1 <= < 4 years,3,male single,none,2,real estate,Older,none,own,1,management/ highly qualified employee,1,yes,yes,1,1.0
607,<200,36,existing credits paid back duly till now,radio/television,2671,<500,1 <= < 4 years,4,female divorced/separated/married,co-applicant,4,no,Older,none,for free,1,skilled employee / official,1,none,yes,0,0.0
608,no,18,existing credits paid back duly till now,radio/television,2051,<100,< 1 year,4,male single,none,1,real estate,Middle2,none,own,1,skilled employee / official,1,none,yes,1,1.0
609,no,15,existing credits paid back duly till now,car (used),1300,no,>= 7 years,4,male single,none,4,no,Older,bank,for free,1,skilled employee / official,2,none,yes,1,1.0
610,<0,12,existing credits paid back duly till now,domestic appliances,741,<500,unemployed,4,female divorced/separated/married,none,3,savings agreement/life insurance,Younger,none,own,1,skilled employee / official,1,none,yes,0,1.0
611,>200,10,existing credits paid back duly till now,car (new),1240,<500,>= 7 years,1,female divorced/separated/married,none,4,no,Older,none,for free,1,unskilled - resident,2,none,yes,0,1.0
612,<0,21,existing credits paid back duly till now,radio/television,3357,>1000,< 1 year,4,female divorced/separated/married,none,2,car or other,Middle1,bank,own,1,skilled employee / official,1,none,yes,1,1.0
613,<0,24,all credits at this bank paid back duly,car (used),3632,<100,1 <= < 4 years,1,female divorced/separated/married,guarantor,4,car or other,Younger,bank,rent,1,skilled employee / official,1,none,no,1,1.0
614,no,18,delay in paying off,furniture/equipment,1808,<100,4 <= < 7 years,4,female divorced/separated/married,none,1,real estate,Younger,none,own,1,skilled employee / official,1,none,yes,0,1.0
615,<200,48,no credits taken,business,12204,no,1 <= < 4 years,2,male single,none,2,car or other,Older,bank,own,1,management/ highly qualified employee,1,yes,yes,1,0.0
616,<200,60,delay in paying off,radio/television,9157,no,1 <= < 4 years,2,male single,none,2,no,Middle1,none,for free,1,management/ highly qualified employee,1,none,yes,1,0.0
617,<0,6,critical account,car (new),3676,<100,1 <= < 4 years,1,male single,none,3,real estate,Middle2,none,rent,3,skilled employee / official,2,none,yes,1,1.0
618,<200,30,existing credits paid back duly till now,furniture/equipment,3441,<500,1 <= < 4 years,2,female divorced/separated/married,co-applicant,4,car or other,Younger,none,rent,1,skilled employee / official,1,none,yes,0,1.0
619,no,12,existing credits paid back duly till now,car (new),640,<100,1 <= < 4 years,4,male divorced/separated,none,2,real estate,Older,none,own,1,unskilled - resident,1,none,yes,1,1.0
620,<200,21,critical account,business,3652,<100,4 <= < 7 years,2,male single,none,3,savings agreement/life insurance,Middle1,none,own,2,skilled employee / official,1,none,yes,1,1.0
621,no,18,critical account,car (new),1530,<100,1 <= < 4 years,3,male single,none,2,savings agreement/life insurance,Middle1,bank,own,2,skilled employee / official,1,none,yes,0,1.0
622,no,48,existing credits paid back duly till now,business,3914,no,1 <= < 4 years,4,male divorced/separated,none,2,real estate,Middle2,bank,own,1,skilled employee / official,1,none,yes,0,1.0
623,<0,12,existing credits paid back duly till now,furniture/equipment,1858,<100,< 1 year,4,female divorced/separated/married,none,1,car or other,Younger,none,rent,1,skilled employee / official,1,none,yes,1,1.0
624,<0,18,existing credits paid back duly till now,radio/television,2600,<100,1 <= < 4 years,4,male single,none,4,no,Older,none,for free,2,skilled employee / official,1,none,yes,0,0.0
625,no,15,existing credits paid back duly till now,radio/television,1979,no,>= 7 years,4,male single,none,2,car or other,Middle2,none,own,1,skilled employee / official,1,none,yes,1,1.0
626,>200,6,existing credits paid back duly till now,furniture/equipment,2116,<100,1 <= < 4 years,2,male single,none,2,real estate,Middle2,none,own,1,skilled employee / official,1,yes,yes,1,1.0
627,<200,9,all credits at this bank paid back duly,car (new),1437,<500,4 <= < 7 years,2,male single,none,3,no,Middle1,none,own,1,skilled employee / official,1,none,yes,0,1.0
628,no,42,critical account,furniture/equipment,4042,<1000,1 <= < 4 years,4,male single,none,4,real estate,Middle2,none,own,2,skilled employee / official,1,yes,yes,1,1.0
629,no,9,existing credits paid back duly till now,education,3832,no,>= 7 years,1,male single,none,4,real estate,Older,none,own,1,unskilled - resident,1,none,yes,1,1.0
630,<0,24,existing credits paid back duly till now,radio/television,3660,<100,1 <= < 4 years,2,female divorced/separated/married,none,4,car or other,Middle1,none,own,1,skilled employee / official,1,none,yes,1,1.0
631,<0,18,all credits at this bank paid back duly,furniture/equipment,1553,<100,1 <= < 4 years,4,male single,none,3,car or other,Older,bank,own,1,skilled employee / official,1,none,yes,0,0.0
632,<200,15,existing credits paid back duly till now,radio/television,1444,no,< 1 year,4,male single,none,1,savings agreement/life insurance,Younger,none,own,1,skilled employee / official,1,none,yes,1,1.0
633,no,9,existing credits paid back duly till now,furniture/equipment,1980,<100,< 1 year,2,female divorced/separated/married,co-applicant,2,car or other,Younger,none,rent,2,skilled employee / official,1,none,yes,0,1.0
634,<200,24,existing credits paid back duly till now,car (new),1355,<100,< 1 year,3,female divorced/separated/married,none,4,car or other,Younger,none,own,1,unskilled - resident,1,yes,yes,0,0.0
635,no,12,existing credits paid back duly till now,education,1393,<100,>= 7 years,4,male single,none,4,savings agreement/life insurance,Older,bank,own,3,skilled employee / official,2,yes,yes,1,1.0
636,no,24,existing credits paid back duly till now,radio/television,1376,<1000,4 <= < 7 years,4,female divorced/separated/married,none,1,car or other,Middle1,none,own,1,skilled employee / official,1,none,yes,1,1.0
637,no,60,delay in paying off,radio/television,15653,<100,4 <= < 7 years,2,male single,none,4,car or other,Younger,none,own,2,skilled employee / official,1,yes,yes,1,1.0
638,no,12,existing credits paid back duly till now,radio/television,1493,<100,< 1 year,4,female divorced/separated/married,none,3,car or other,Middle2,none,own,1,skilled employee / official,2,none,yes,1,1.0
639,<0,42,delay in paying off,radio/television,4370,<100,4 <= < 7 years,3,male single,none,2,savings agreement/life insurance,Younger,bank,own,2,skilled employee / official,2,yes,yes,0,1.0
640,<0,18,existing credits paid back duly till now,education,750,<100,unemployed,4,female divorced/separated/married,none,1,real estate,Middle1,none,own,1,unemployed/ unskilled  - non-resident,1,none,yes,0,1.0
641,<200,15,existing credits paid back duly till now,repairs,1308,<100,>= 7 years,4,male single,none,4,car or other,Middle2,none,own,2,unskilled - resident,1,none,yes,1,1.0
642,no,15,existing credits paid back duly till now,education,4623,<500,1 <= < 4 years,3,male single,none,2,savings agreement/life insurance,Middle2,none,own,1,management/ highly qualified employee,1,yes,yes,0,1.0
643,no,24,critical account,radio/television,1851,<100,4 <= < 7 years,4,male married/widowed,guarantor,2,car or other,Middle2,none,own,2,skilled employee / official,1,yes,yes,1,1.0
644,<0,18,critical account,radio/television,1880,<100,4 <= < 7 years,4,male married/widowed,none,1,savings agreement/life insurance,Middle1,none,own,2,management/ highly qualified employee,1,yes,yes,1,1.0
645,no,36,delay in paying off,business,7980,no,< 1 year,4,male single,none,4,car or other,Middle1,none,rent,2,skilled employee / official,1,yes,yes,0,1.0
646,<0,30,no credits taken,furniture/equipment,4583,<100,1 <= < 4 years,2,male divorced/separated,guarantor,2,real estate,Middle1,none,own,2,skilled employee / official,1,none,yes,1,1.0
647,no,12,existing credits paid back duly till now,car (new),1386,<1000,1 <= < 4 years,2,female divorced/separated/married,none,2,savings agreement/life insurance,Younger,none,own,1,skilled employee / official,1,none,yes,0,1.0
648,>200,24,existing credits paid back duly till now,car (new),947,<100,4 <= < 7 years,4,male single,none,3,no,Middle2,bank,for free,1,skilled employee / official,2,none,yes,0,0.0
649,<0,12,existing credits paid back duly till now,education,684,<100,1 <= < 4 years,4,male single,none,4,car or other,Middle2,none,rent,1,unskilled - resident,2,none,yes,0,0.0
650,<0,48,existing credits paid back duly till now,education,7476,<100,4 <= < 7 years,4,male single,none,1,no,Older,none,for free,1,management/ highly qualified employee,1,yes,yes,1,0.0
651,<200,12,existing credits paid back duly till now,furniture/equipment,1922,<100,1 <= < 4 years,4,male single,none,2,savings agreement/life insurance,Middle2,none,own,1,unskilled - resident,1,none,yes,0,1.0
652,<0,24,existing credits paid back duly till now,car (new),2303,<100,>= 7 years,4,male single,co-applicant,1,real estate,Older,none,own,1,skilled employee / official,1,none,yes,0,0.0
653,<200,36,delay in paying off,car (new),8086,<500,>= 7 years,2,male single,none,4,car or other,Older,none,own,4,management/ highly qualified employee,1,yes,yes,0,1.0
654,no,24,critical account,car (used),2346,<100,4 <= < 7 years,4,male single,none,3,car or other,Middle2,none,own,2,skilled employee / official,1,yes,yes,1,1.0
655,<0,14,existing credits paid back duly till now,car (new),3973,<100,unemployed,1,male single,none,4,no,Younger,none,for free,1,skilled employee / official,1,none,yes,1,0.0
656,<200,12,existing credits paid back duly till now,car (new),888,<100,>= 7 years,4,male single,none,4,car or other,Middle2,bank,own,1,unskilled - resident,2,none,yes,0,0.0
657,no,48,existing credits paid back duly till now,radio/television,10222,no,4 <= < 7 years,4,male single,none,3,car or other,Middle2,store,own,1,skilled employee / official,1,yes,yes,1,1.0
658,<200,30,no credits taken,business,4221,<100,1 <= < 4 years,2,female divorced/separated/married,none,1,car or other,Middle1,none,own,2,skilled employee / official,1,none,yes,1,0.0
